,Model,RMSE,MAPE,Weeks ahead,Location
391,CMU-TimeSeries,43.5254495314132,64.93619520995821,4,OH
392,CMU-TimeSeries,73.80550374965806,63.67148527465755,4,OK
393,CMU-TimeSeries,4.36235933181068,148.80725109936012,4,OR
394,CMU-TimeSeries,51.09601801220495,53.788017624636254,4,PA
395,CMU-TimeSeries,0.9021679018677788,45928358.91171315,4,RI
396,CMU-TimeSeries,17.371433790739466,74.23894368779398,4,SC
397,CMU-TimeSeries,13.171922661234207,44.902440627628835,4,SD
398,CMU-TimeSeries,24.49343571871434,65.67383622323555,4,TN
399,CMU-TimeSeries,261.4735276246479,80.64621545605752,4,TX
400,CMU-TimeSeries,1074.3382986007468,46.27993096558134,4,US
401,CMU-TimeSeries,6.964654600725065,78.74304513431017,4,UT
402,CMU-TimeSeries,10.438621662365856,30.65301641930427,4,VA
403,CMU-TimeSeries,0.7450199152886195,44277116.043970585,4,VT
404,CMU-TimeSeries,9.276831522154675,69.42599104445839,4,WA
405,CMU-TimeSeries,32.938960240370626,67.85634281456171,4,WI
406,CMU-TimeSeries,15.559847302052919,67.75704600136775,4,WV
407,CMU-TimeSeries,5.119082234947652,120.32524411806718,4,WY
408,CU-ensemble,4.9836131471052205,172222367.96296296,1,AK
409,CU-ensemble,6.838929415892194,38.641915262176695,1,AL
410,CU-ensemble,12.34497828628665,53.26068258341521,1,AR
411,CU-ensemble,47.77047333052313,81.35533120040726,1,AZ
412,CU-ensemble,12.010102229188375,54.65332276101612,1,CA
413,CU-ensemble,12.89619022123287,52.66842942430965,1,CO
414,CU-ensemble,9.002481139478531,106963192.81409334,1,CT
415,CU-ensemble,1.4457600845998695,42839472.92798354,1,DC
416,CU-ensemble,4.11069742663375,54506337.49770723,1,DE
417,CU-ensemble,27.25555091271419,30.72275502409542,1,FL
418,CU-ensemble,15.359657837624146,22.345064802787256,1,GA
419,CU-ensemble,14.367550630191323,126.89384657133806,1,IA
420,CU-ensemble,5.049150643645149,67.19830246913581,1,ID
421,CU-ensemble,16.74008031309554,79.50930906486462,1,IL
422,CU-ensemble,24.629338647682403,44.620295219903,1,IN
423,CU-ensemble,25.418159519000056,103.89643328401715,1,KS
424,CU-ensemble,8.950021725609883,27.76280117693797,1,KY
425,CU-ensemble,11.004822175351636,81.95821505146475,1,LA
